student_name,roll_number,branch,semester,attendance_pct,internal_marks,assignment_score,quiz_score,study_hours_per_week,previous_cgpa,activity_participation,final_percentage,pass_fail,grade
Jyoti Khanna,CE20240001,CE,4,96.5,5.8,100.0,18.1,24.9,7.18,Medium,58.95,1,C
Shruti Malhotra,EE20240002,EE,7,48.4,37.4,55.9,37.1,14.5,8.28,Low,55.83,1,C
Ritu Reddy,ME20240003,ME,8,17.6,19.9,55.0,0.0,20.1,7.94,Medium,39.92,0,F
Ankit Chauhan,EE20240004,EE,3,75.3,24.2,64.6,55.0,25.8,7.08,Low,64.04,1,C
Shruti Thakur,EE20240005,EE,2,100.0,18.6,85.6,32.9,16.0,4.17,None,57.88,1,C
Aditya Das,ECE20240006,ECE,1,94.3,24.9,28.9,59.3,12.0,10.0,Low,55.65,1,C
Harsh Bhatia,ME20240007,ME,6,75.8,47.2,18.8,22.2,0.4,3.67,Medium,45.29,1,D
Divya Chopra,ME20240008,ME,5,63.2,37.6,49.1,59.8,13.3,7.91,Medium,69.88,1,B
Rajat Mishra,ME20240009,ME,5,86.5,38.3,26.1,48.9,20.6,6.98,None,61.79,1,C
Harsh Chauhan,EE20240010,EE,1,54.5,11.0,52.7,91.0,21.6,4.09,None,52.41,1,C
Suresh Rajput,CE20240011,CE,6,80.6,14.2,73.1,89.0,18.0,5.98,Medium,57.04,1,C
Megha Singh,ME20240012,ME,1,81.1,0.0,42.4,75.3,9.7,6.06,High,41.02,1,D
Tushar Reddy,EE20240013,EE,2,91.1,18.3,30.6,50.8,0.0,8.55,Low,48.69,1,D
Rashmi Malhotra,ECE20240014,ECE,8,100.0,39.5,63.5,100.0,10.0,4.92,Medium,74.54,1,B
Shruti Pandey,CE20240015,CE,3,79.1,34.2,81.0,23.8,11.6,5.73,None,56.81,1,C
Nisha Mishra,ECE20240016,ECE,7,62.8,25.3,24.7,27.1,11.5,2.0,Low,45.82,1,D
Tanvi Rajput,CE20240017,CE,5,71.5,27.7,80.0,56.2,18.9,9.32,None,68.18,1,B
Komal Das,EE20240018,EE,2,40.2,19.7,80.0,100.0,29.9,4.27,Medium,69.51,1,B
Nikhil Thakur,CSE20240019,CSE,3,59.5,30.5,83.0,53.5,15.0,6.79,Low,64.08,1,C
Ankit Malhotra,CE20240020,CE,2,64.6,37.2,88.8,54.0,12.3,6.02,High,55.98,1,C
